objectid,tipe,npsn,nama,alamat,lat,lon,keterangan,kuota
35366,SMP,"20100772",SMP NEGERI 23 JAKARTA,Jl. Pademangan Timur Vi,-6.132200000000000,106.844600000000000,,"238"
35382,SMP,"20100747",SMP NEGERI 34 JAKARTA,Jl. Pademangan Timur 7,-6.131300000000000,106.844700000000003,,"239"
35391,SMP,"20100719",SMP Negeri 114,Jl. H.M Darpi No. 2 Rt. 001 Rw. 13 Plumpang Semper,-6.130400000000000,106.914599999999993,,"167"
35409,SMP,"20100740",SMP NEGERI 121 JAKARTA,Jl.Plumpang Semper No.20,-6.129100000000000,106.909300000000002,,"108"
35414,SMP,"20100720",SMP NEGERI 116 JAKARTA,Jl.Sunter Permai Raya Sunter Agung,-6.128700000000000,106.858999999999995,,"152"
35419,SMP,"20100746",SMP Negeri 30,Jl. Anggrek No. 4 Koja,-6.128100000000000,106.910600000000002,,"112"
35436,SMP,"20100761",SMP NEGERI 129 JAKARTA,Jl. Warakas VI,-6.126300000000000,106.876199999999997,,"123"
35451,SMP,"20100764",SMP NEGERI 151 JAKARTA,Jl. Kepil  No. 1,-6.124800000000000,106.902900000000002,,"155"
35454,SMP,"20100766",SMP NEGERI 162 JAKARTA,Jl. Marunda Baru Iv No. 1,-6.124500000000000,106.959400000000002,,"210"
35457,SMP,"20100773",SMP NEGERI 231 JAKARTA,Jl. Raya Tugu Semper,-6.123900000000000,106.922700000000006,,"88"
35486,SMP,"20100743",SMP NEGERI 277 JAKARTA,Jl. Sindang Terusan No. 34 A,-6.121300000000000,106.895600000000002,,"169"
35493,SMP,"20100750",SMP Negeri 55,Jl. Bahari IV A.11,-6.120200000000000,106.871099999999998,,"212"
35500,SMP,"20100768",SMP NEGERI 173 JAKARTA,Jl. Alur Laut No. 57,-6.119000000000000,106.899000000000001,,"226"
35522,SMP,"20100744",SMP NEGERI 279 JAKARTA,Jl. Mahoni No. 44,-6.116600000000000,106.913399999999996,,"197"
35528,SMP,"20100752",SMP Negeri 84,Jl. Kramat Jaya Blok R Gang VIII No.60,-6.115900000000000,106.911600000000007,,"97"
35543,SMP,"20100753",SMP Negeri 95,Jl. Ganggeng III No. 3,-6.115300000000000,106.881600000000006,,"89"
35592,SMP,"20100757",SMP NEGERI 266 JAKARTA,Jl. Cilincing Bakti Vi No. 29,-6.110100000000000,106.937899999999999,,"165"
35593,SMP,"20100759",SMP NEGERI 244 JAKARTA,Jl. Cilincing Bhakti VI No. 28,-6.109900000000000,106.938000000000002,,"249"
35603,SMP,"20100763",SMP Negeri 143,Jl. Cilincing Bakti IX,-6.108700000000000,106.935500000000005,,"214"
35624,SMP,"20100749",SMP Negeri 53,Jl. Tanah Merdeka 33,-6.105500000000000,106.921000000000006,,"150"
35669,SMP,"20100721",SMP Negeri 120,Jl. Kamal Muara Raya No. 9,-6.094900000000000,106.719999999999999,,"202"
35892,SMP,"20106347",SMP NEGERI 285 JAKARTA,Jl. Pulau Edam,-5.978800000000000,106.709800000000001,,"86"
35936,SMP,"20107183",SMP NEGERI SATU ATAP 01 P. PARI,Pulau Pari,-5.857800000000000,106.619600000000005,,"200"
35956,SMP,"20106343",SMP NEGERI 241,Jl. Pendidikan,-5.798500000000000,106.500299999999996,,"241"
35982,SMP,"20106342",SMP NEGERI 133 JAKARTA,Jl. Pulau Pramuka Rt. 003 Rw. 05,-5.747100000000000,106.613799999999998,,"142"
36049,SMP,"20106346",SMP NEGERI 260 JAKARTA,Pulau Harapan Rt. 05/02,-5.653500000000000,106.579700000000003,,"243"
37118,SMP,"20107711",SMP NEGERI SATU ATAP 02 PULAU SABIRA,Pulau Sabira Rt 001/03,-5.205600000000000,106.460300000000004,,"217"
9459,MTS,"20178264",MTSN 32 JAKARTA,Jl. H. Liun Muchtar Raya,-6.224400000000000,106.740899999999996,,"110"
9475,MTS,"20178183",MTSN 27 JAKARTA,Jl. Sayur Asem No. 82 Joglo,-6.220900000000000,106.718299999999999,,"117"
9487,MTS,"20178237",MTSN 3 JAKARTA,Jl. Pupan No.3B Rt.005/008,-6.218542000000000,106.784250000000000,,"151"
